"","LTER_site","local_site","date","airtemp_max","flag_airtemp_max","airtemp_min","flag_airtemp_min","airtemp_avg"
"92","NWT","sdl",1981-10-08,4,NA,-4,NA,0
"93","NWT","sdl",1981-10-09,0,NA,-4,NA,-2
"94","NWT","sdl",1981-10-10,6,NA,-4,NA,1
"95","NWT","sdl",1981-10-11,9,NA,1,NA,5
"96","NWT","sdl",1981-10-12,0,NA,-4,NA,-2
"97","NWT","sdl",1981-10-13,2,NA,-4,NA,-1
"98","NWT","sdl",1981-10-14,-1,NA,-5,NA,-3
"99","NWT","sdl",1981-10-15,-2,NA,-6,NA,-4
"100","NWT","sdl",1981-10-16,-4,NA,-10,NA,-7
"101","NWT","sdl",1981-10-17,-4,NA,-10,NA,-7
"102","NWT","sdl",1981-10-18,-4,NA,-8,NA,-6
"103","NWT","sdl",1981-10-19,0,NA,-5,NA,-2.5
"104","NWT","sdl",1981-10-20,1,NA,-4,NA,-1.5
"105","NWT","sdl",1981-10-21,1,NA,-7,NA,-3
"106","NWT","sdl",1981-10-22,-3,NA,-8,NA,-5.5
"107","NWT","sdl",1981-10-23,-1,NA,-8,NA,-4.5
"108","NWT","sdl",1981-10-24,-4,NA,-13,NA,-8.5
"109","NWT","sdl",1981-10-25,-7,NA,-13,NA,-10
"110","NWT","sdl",1981-10-26,2,NA,-7,NA,-2.5
"111","NWT","sdl",1981-10-27,7,NA,-7,NA,0
"112","NWT","sdl",1981-10-28,2,NA,-4,NA,-1
"113","NWT","sdl",1981-10-29,2,NA,-8,NA,-3
"114","NWT","sdl",1981-10-30,1,NA,-3,NA,-1
"115","NWT","sdl",1981-10-31,0,NA,-5,NA,-2.5
"116","NWT","sdl",1981-11-01,-1,NA,-9,NA,-5
"117","NWT","sdl",1981-11-02,3,NA,-8,NA,-2.5
"118","NWT","sdl",1981-11-03,4,NA,-2,NA,1
"119","NWT","sdl",1981-11-04,3,NA,-3,NA,0
"120","NWT","sdl",1981-11-05,2,NA,-10,NA,-4
"121","NWT","sdl",1981-11-06,-7,NA,-13,NA,-10
"122","NWT","sdl",1981-11-07,-10,NA,-13,NA,-11.5
"123","NWT","sdl",1981-11-08,1,NA,-10,NA,-4.5
"124","NWT","sdl",1981-11-09,0,NA,-8,NA,-4
"125","NWT","sdl",1981-11-10,3,NA,-8,NA,-2.5
"126","NWT","sdl",1981-11-11,2,NA,-7,NA,-2.5
"127","NWT","sdl",1981-11-12,1,NA,-5,NA,-2
"128","NWT","sdl",1981-11-13,1,NA,-2,NA,-0.5
"129","NWT","sdl",1981-11-14,0,NA,-5,NA,-2.5
"130","NWT","sdl",1981-11-15,-2,NA,-6,NA,-4
"131","NWT","sdl",1981-11-16,2,NA,-2,NA,0
"132","NWT","sdl",1981-11-17,4,NA,-3,NA,0.5
"133","NWT","sdl",1981-11-18,-3,NA,-14,NA,-8.5
"134","NWT","sdl",1981-11-19,-11,NA,-15,NA,-13
"135","NWT","sdl",1981-11-20,-6,NA,-13,NA,-9.5
"136","NWT","sdl",1981-11-21,-6,NA,-10,NA,-8
"137","NWT","sdl",1981-11-22,-3,"1",-12.5,"2",-7.8
"138","NWT","sdl",1981-11-23,-3,NA,-6,NA,-4.5
"139","NWT","sdl",1981-11-24,1,NA,-5,NA,-2
"140","NWT","sdl",1981-11-25,-2,NA,-16,NA,-9
"141","NWT","sdl",1981-11-26,-7,NA,-18,NA,-12.5
"142","NWT","sdl",1981-11-27,-6,NA,-13,NA,-9.5
"143","NWT","sdl",1981-11-28,-7,NA,-15,NA,-11
"144","NWT","sdl",1981-11-29,-6,NA,-10,NA,-8
"145","NWT","sdl",1981-11-30,0,NA,-11,NA,-5.5
"146","NWT","sdl",1981-12-01,-20,NA,-26,NA,-23
"147","NWT","sdl",1981-12-02,-11,"2",-12.6,"2",-11.8
"148","NWT","sdl",1981-12-03,-10,"1",-12,"2",-11
"149","NWT","sdl",1981-12-04,-1,"1",-9.5,"2",-5.3
"150","NWT","sdl",1981-12-05,-3,"1",-8.2,"2",-5.6
"151","NWT","sdl",1981-12-06,-1,"1",-4.8,"2",-2.9
"152","NWT","sdl",1981-12-07,0,NA,-5,NA,-2.5
"153","NWT","sdl",1981-12-08,0,NA,-6,NA,-3
"154","NWT","sdl",1981-12-09,3,NA,-3,NA,0
"155","NWT","sdl",1981-12-10,-2,NA,-5,NA,-3.5
"156","NWT","sdl",1981-12-11,-4,NA,-9,NA,-6.5
"157","NWT","sdl",1981-12-12,-2,NA,-10,NA,-6
"158","NWT","sdl",1981-12-13,-8,NA,-12,NA,-10
"159","NWT","sdl",1981-12-14,-10,NA,-12,NA,-11
"160","NWT","sdl",1981-12-15,-8,NA,-15,NA,-11.5
"161","NWT","sdl",1981-12-16,-14,NA,-18,NA,-16
"162","NWT","sdl",1981-12-17,-18,NA,-19,NA,-18.5
"163","NWT","sdl",1981-12-18,-8,NA,-17,NA,-12.5
"164","NWT","sdl",1981-12-19,-5,NA,-11,NA,-8
"165","NWT","sdl",1981-12-20,-5,NA,-6,NA,-5.5
"166","NWT","sdl",1981-12-21,-6,NA,-16,NA,-11
"167","NWT","sdl",1981-12-22,-15,NA,-24,NA,-19.5
"168","NWT","sdl",1981-12-23,-20,NA,-24,NA,-22
"169","NWT","sdl",1981-12-24,-17,NA,-22,NA,-19.5
"170","NWT","sdl",1981-12-25,-16,NA,-20,NA,-18
"171","NWT","sdl",1981-12-26,-14,NA,-21,NA,-17.5
"172","NWT","sdl",1981-12-27,-14,NA,-21,NA,-17.5
"173","NWT","sdl",1981-12-28,-15,"1",-23,"1",-19
"174","NWT","sdl",1981-12-29,-8,"1",-17,"1",-12.5
"175","NWT","sdl",1981-12-30,-8,"1",-13,"1",-10.5
"176","NWT","sdl",1981-12-31,-10,"1",-18,"1",-14
"177","NWT","sdl",1982-01-01,-10,"1",-15,"1",-12.5
"178","NWT","sdl",1982-01-02,-14,"1",-20,"1",-17
"179","NWT","sdl",1982-01-03,-19,"1",-22,"1",-20.5
"180","NWT","sdl",1982-01-04,-10,"1",-22,"1",-16
"181","NWT","sdl",1982-01-05,-10,NA,-12,NA,-11
"182","NWT","sdl",1982-01-06,-12,NA,-27,NA,-19.5
"183","NWT","sdl",1982-01-07,-17,NA,-26,NA,-21.5
"184","NWT","sdl",1982-01-08,-13,NA,-19,NA,-16
"185","NWT","sdl",1982-01-09,-8,NA,-13,NA,-10.5
"186","NWT","sdl",1982-01-10,-11,NA,-13,NA,-12
"187","NWT","sdl",1982-01-11,-9,NA,-16,NA,-12.5
"188","NWT","sdl",1982-01-12,-17,NA,-21,NA,-19
"189","NWT","sdl",1982-01-13,-16,NA,-22,NA,-19
"190","NWT","sdl",1982-01-14,-13,NA,-16,NA,-14.5
"191","NWT","sdl",1982-01-15,-16,NA,-17,NA,-16.5
"192","NWT","sdl",1982-01-16,-11,NA,-17,NA,-14
"193","NWT","sdl",1982-01-17,-7,NA,-10,NA,-8.5
"194","NWT","sdl",1982-01-18,-8,NA,-13,NA,-10.5
"195","NWT","sdl",1982-01-19,-9,NA,-13,NA,-11
"196","NWT","sdl",1982-01-20,-14,NA,-16,NA,-15
"197","NWT","sdl",1982-01-21,-11,NA,-16,NA,-13.5
"198","NWT","sdl",1982-01-22,-17,NA,-25,NA,-21
"199","NWT","sdl",1982-01-23,-13,NA,-26,NA,-19.5
"200","NWT","sdl",1982-01-24,-7,NA,-12,NA,-9.5
"201","NWT","sdl",1982-01-25,-4,NA,-13,NA,-8.5
"202","NWT","sdl",1982-01-26,0,NA,-7,NA,-3.5
"203","NWT","sdl",1982-01-27,-7,NA,-17,NA,-12
"204","NWT","sdl",1982-01-28,-7,NA,-14,NA,-10.5
"205","NWT","sdl",1982-01-29,-12,NA,-18,NA,-15
"206","NWT","sdl",1982-01-30,-12,NA,-16,NA,-14
"207","NWT","sdl",1982-01-31,-13,NA,-16,NA,-14.5
"208","NWT","sdl",1982-02-01,-15,NA,-21,NA,-18
"209","NWT","sdl",1982-02-02,-17,NA,-25,NA,-21
"210","NWT","sdl",1982-02-03,-17,NA,-25,NA,-21
"211","NWT","sdl",1982-02-04,-15,NA,-27,NA,-21
"212","NWT","sdl",1982-02-05,-27,NA,-30,NA,-28.5
"213","NWT","sdl",1982-02-06,-15,NA,-29,NA,-22
"214","NWT","sdl",1982-02-07,-10,NA,-16,NA,-13
"215","NWT","sdl",1982-02-08,-14,NA,-22,NA,-18
"216","NWT","sdl",1982-02-09,-17,NA,-23,NA,-20
"217","NWT","sdl",1982-02-10,-15,NA,-20,NA,-17.5
"218","NWT","sdl",1982-02-11,-8,NA,-20,NA,-14
"219","NWT","sdl",1982-02-12,-10,NA,-18,NA,-14
"220","NWT","sdl",1982-02-13,-6,NA,-12,NA,-9
"221","NWT","sdl",1982-02-14,-6,NA,-10,NA,-8
"222","NWT","sdl",1982-02-15,-6,NA,-10,NA,-8
"223","NWT","sdl",1982-02-16,-3,NA,-11,NA,-7
"224","NWT","sdl",1982-02-17,-8,NA,-12,NA,-10
"225","NWT","sdl",1982-02-18,-3,NA,-15,NA,-9
"226","NWT","sdl",1982-02-19,-4,NA,-11,NA,-7.5
"227","NWT","sdl",1982-02-20,-1,NA,-7,NA,-4
"228","NWT","sdl",1982-02-21,2,NA,-6,NA,-2
"229","NWT","sdl",1982-02-22,0,NA,-6,NA,-3
"230","NWT","sdl",1982-02-23,-5,NA,-9,NA,-7
"231","NWT","sdl",1982-02-24,-5,NA,-11,NA,-8
"232","NWT","sdl",1982-02-25,-4,NA,-14,NA,-9
"233","NWT","sdl",1982-02-26,-6,NA,-13,NA,-9.5
"234","NWT","sdl",1982-02-27,-7,NA,-11,NA,-9
"235","NWT","sdl",1982-02-28,-6,NA,-11,NA,-8.5
"236","NWT","sdl",1982-03-01,-3,NA,-8,NA,-5.5
"237","NWT","sdl",1982-03-02,-6,NA,-11,NA,-8.5
"238","NWT","sdl",1982-03-03,-6,NA,-13,NA,-9.5
"239","NWT","sdl",1982-03-04,-13,NA,-18,NA,-15.5
"240","NWT","sdl",1982-03-05,-10,NA,-19,NA,-14.5
"241","NWT","sdl",1982-03-06,-16,NA,-20,NA,-18
"242","NWT","sdl",1982-03-07,-11,NA,-16,NA,-13.5
"243","NWT","sdl",1982-03-08,-8,NA,-12,NA,-10
"244","NWT","sdl",1982-03-09,-8,NA,-12,NA,-10
"245","NWT","sdl",1982-03-10,-7,NA,-9,NA,-8
"246","NWT","sdl",1982-03-11,-3,NA,-9,NA,-6
"247","NWT","sdl",1982-03-12,-6,NA,-15,NA,-10.5
"248","NWT","sdl",1982-03-13,-2,NA,-11,NA,-6.5
"249","NWT","sdl",1982-03-14,-4,NA,-8,NA,-6
"250","NWT","sdl",1982-03-15,-6,NA,-11,NA,-8.5
"251","NWT","sdl",1982-03-16,-4,NA,-12,NA,-8
"252","NWT","sdl",1982-03-17,-5,NA,-13,NA,-9
"253","NWT","sdl",1982-03-18,-2,NA,-12,NA,-7
"254","NWT","sdl",1982-03-19,-8,NA,-18,NA,-13
"255","NWT","sdl",1982-03-20,-15,NA,-20,NA,-17.5
"256","NWT","sdl",1982-03-21,-12,NA,-19,NA,-15.5
"257","NWT","sdl",1982-03-22,-9,NA,-17,NA,-13
"258","NWT","sdl",1982-03-23,-9,NA,-16,NA,-12.5
"259","NWT","sdl",1982-03-24,-8,NA,-14,NA,-11
"260","NWT","sdl",1982-03-25,-4,NA,-13,NA,-8.5
"261","NWT","sdl",1982-03-26,-4,NA,-10,NA,-7
"262","NWT","sdl",1982-03-27,-3,NA,-11,NA,-7
"263","NWT","sdl",1982-03-28,-1,NA,-10,NA,-5.5
"264","NWT","sdl",1982-03-29,-4,NA,-18,NA,-11
"265","NWT","sdl",1982-03-30,-14,NA,-18,NA,-16
"266","NWT","sdl",1982-03-31,-4,NA,-16,NA,-10
"267","NWT","sdl",1982-04-01,1,NA,-7,NA,-3
"268","NWT","sdl",1982-04-02,-7,NA,-18,NA,-12.5
"269","NWT","sdl",1982-04-03,-5,NA,-15,NA,-10
"270","NWT","sdl",1982-04-04,-2,NA,-15,NA,-8.5
"271","NWT","sdl",1982-04-05,-11,NA,-20,NA,-15.5
"272","NWT","sdl",1982-04-06,-7,NA,-11,NA,-9
"273","NWT","sdl",1982-04-07,-9,NA,-19,NA,-14
"274","NWT","sdl",1982-04-08,-15,NA,-20,NA,-17.5
"275","NWT","sdl",1982-04-09,-11,NA,-20,NA,-15.5
"276","NWT","sdl",1982-04-10,-7,NA,-18,NA,-12.5
"277","NWT","sdl",1982-04-11,2,NA,-10,NA,-4
"278","NWT","sdl",1982-04-12,-1,NA,-7,NA,-4
"279","NWT","sdl",1982-04-13,0,NA,-8,NA,-4
"280","NWT","sdl",1982-04-14,2,NA,-7,NA,-2.5
"281","NWT","sdl",1982-04-15,-1,NA,-9,NA,-5
"282","NWT","sdl",1982-04-16,-10,NA,-17,NA,-13.5
"283","NWT","sdl",1982-04-17,-3,NA,-15,NA,-9
"284","NWT","sdl",1982-04-18,-3,NA,-13,NA,-8
"285","NWT","sdl",1982-04-19,-14,NA,-20,NA,-17
"286","NWT","sdl",1982-04-20,-14,NA,-24,NA,-19
"287","NWT","sdl",1982-04-21,-2,NA,-21,NA,-11.5
"288","NWT","sdl",1982-04-22,-2,NA,-16,NA,-9
"289","NWT","sdl",1982-04-23,1,NA,-10,NA,-4.5
"290","NWT","sdl",1982-04-24,-1,NA,-8,NA,-4.5
"291","NWT","sdl",1982-04-25,-1,NA,-8,NA,-4.5
"292","NWT","sdl",1982-04-26,-2,NA,-10,NA,-6
"293","NWT","sdl",1982-04-27,-6,NA,-11,NA,-8.5
"294","NWT","sdl",1982-04-28,-2,NA,-12,NA,-7
"295","NWT","sdl",1982-04-29,-3,NA,-10,NA,-6.5
"296","NWT","sdl",1982-04-30,-2,NA,-12,NA,-7
"297","NWT","sdl",1982-05-01,4,NA,-5,NA,-0.5
"298","NWT","sdl",1982-05-02,6,NA,-3,NA,1.5
"299","NWT","sdl",1982-05-03,0,NA,-4,NA,-2
"300","NWT","sdl",1982-05-04,0,NA,-6,NA,-3
"301","NWT","sdl",1982-05-05,-4,NA,-13,NA,-8.5
"302","NWT","sdl",1982-05-06,-8,NA,-16,NA,-12
"303","NWT","sdl",1982-05-07,-4,NA,-10,NA,-7
"304","NWT","sdl",1982-05-08,1,NA,-7,NA,-3
"305","NWT","sdl",1982-05-09,2,NA,-4,NA,-1
"306","NWT","sdl",1982-05-10,0,NA,-9,NA,-4.5
"307","NWT","sdl",1982-05-11,-3,NA,-7,NA,-5
"308","NWT","sdl",1982-05-12,-4,NA,-9,NA,-6.5
"309","NWT","sdl",1982-05-13,-5,NA,-9,NA,-7
"310","NWT","sdl",1982-05-14,-5,NA,-10,NA,-7.5
"311","NWT","sdl",1982-05-15,-2,NA,-9,NA,-5.5
"312","NWT","sdl",1982-05-16,-1,NA,-7,NA,-4
"313","NWT","sdl",1982-05-17,-1,NA,-7,NA,-4
"314","NWT","sdl",1982-05-18,3,NA,-4,NA,-0.5
"315","NWT","sdl",1982-05-19,5,NA,-6,NA,-0.5
"316","NWT","sdl",1982-05-20,-3,NA,-7,NA,-5
"317","NWT","sdl",1982-05-21,3,NA,-8,NA,-2.5
"318","NWT","sdl",1982-05-22,9,NA,-6,NA,1.5
"319","NWT","sdl",1982-05-23,5,NA,-4,NA,0.5
"320","NWT","sdl",1982-05-24,3,NA,-7,NA,-2
"321","NWT","sdl",1982-05-25,-3,NA,-10,NA,-6.5
"322","NWT","sdl",1982-05-26,4,NA,-9,NA,-2.5
"323","NWT","sdl",1982-05-27,8,NA,1,NA,4.5
"324","NWT","sdl",1982-05-28,3,NA,-4,NA,-0.5
"325","NWT","sdl",1982-05-29,5,NA,-5,NA,0
"326","NWT","sdl",1982-05-30,1,NA,-6,NA,-2.5
"327","NWT","sdl",1982-05-31,3,NA,-8,NA,-2.5
"328","NWT","sdl",1982-06-01,5,NA,-5,NA,0
"329","NWT","sdl",1982-06-02,3,NA,-6,NA,-1.5
"330","NWT","sdl",1982-06-03,0,NA,-6,NA,-3
"331","NWT","sdl",1982-06-04,2,NA,-3,NA,-0.5
"332","NWT","sdl",1982-06-05,5,NA,-3,NA,1
"333","NWT","sdl",1982-06-06,0,NA,-7,NA,-3.5
"334","NWT","sdl",1982-06-07,7,NA,-6,NA,0.5
"335","NWT","sdl",1982-06-08,5,NA,-4,NA,0.5
"336","NWT","sdl",1982-06-09,0,NA,-6,NA,-3
"337","NWT","sdl",1982-06-10,4,NA,-2,NA,1
"338","NWT","sdl",1982-06-11,2,NA,-3,NA,-0.5
"339","NWT","sdl",1982-06-12,6,NA,-2,NA,2
"340","NWT","sdl",1982-06-13,9,NA,-1,NA,4
"341","NWT","sdl",1982-06-14,5,NA,-2,NA,1.5
"342","NWT","sdl",1982-06-15,1,NA,-5,NA,-2
"343","NWT","sdl",1982-06-16,9,NA,-1,NA,4
"344","NWT","sdl",1982-06-17,5,NA,-2,NA,1.5
"345","NWT","sdl",1982-06-18,1,NA,-6,NA,-2.5
"346","NWT","sdl",1982-06-19,10,NA,-9,NA,0.5
"347","NWT","sdl",1982-06-20,9,NA,-2,NA,3.5
"348","NWT","sdl",1982-06-21,8,NA,-2,NA,3
"349","NWT","sdl",1982-06-22,8,NA,0,NA,4
"350","NWT","sdl",1982-06-23,8,NA,1,NA,4.5
"351","NWT","sdl",1982-06-24,7,NA,-2,NA,2.5
"352","NWT","sdl",1982-06-25,11,NA,-1,NA,5
"353","NWT","sdl",1982-06-26,5,NA,-2,NA,1.5
"354","NWT","sdl",1982-06-27,11,NA,1,NA,6
"355","NWT","sdl",1982-06-28,25,NA,6,NA,15.5
"356","NWT","sdl",1982-06-29,13,NA,5,NA,9
"357","NWT","sdl",1982-06-30,13,NA,1,NA,7
"358","NWT","sdl",1982-07-01,10,NA,1,NA,5.5
"359","NWT","sdl",1982-07-02,10,NA,1,NA,5.5
"360","NWT","sdl",1982-07-03,13,NA,4,NA,8.5
"361","NWT","sdl",1982-07-04,13,NA,4,NA,8.5
"362","NWT","sdl",1982-07-05,11,NA,3,NA,7
"363","NWT","sdl",1982-07-06,8,NA,-3,NA,2.5
"364","NWT","sdl",1982-07-07,11,NA,1,NA,6
"365","NWT","sdl",1982-07-08,11,NA,4,NA,7.5
"366","NWT","sdl",1982-07-09,9,NA,1,NA,5
"367","NWT","sdl",1982-07-10,11,NA,2,NA,6.5
"368","NWT","sdl",1982-07-11,12,NA,4,NA,8
"369","NWT","sdl",1982-07-12,12,NA,5,NA,8.5
"370","NWT","sdl",1982-07-13,13,NA,3,NA,8
"371","NWT","sdl",1982-07-14,15,NA,4,NA,9.5
"372","NWT","sdl",1982-07-15,15,NA,4,NA,9.5
"373","NWT","sdl",1982-07-16,13,NA,6,NA,9.5
"374","NWT","sdl",1982-07-17,12,NA,5,NA,8.5
"375","NWT","sdl",1982-07-18,13,NA,4,NA,8.5
"376","NWT","sdl",1982-07-19,14,NA,4,NA,9
"377","NWT","sdl",1982-07-20,17,NA,5,NA,11
"378","NWT","sdl",1982-07-21,17,NA,6,NA,11.5
"379","NWT","sdl",1982-07-22,16,NA,7,NA,11.5
"380","NWT","sdl",1982-07-23,17,NA,9,NA,13
"381","NWT","sdl",1982-07-24,18,NA,7,NA,12.5
"382","NWT","sdl",1982-07-25,15,NA,6,NA,10.5
"383","NWT","sdl",1982-07-26,13,NA,4,NA,8.5
"384","NWT","sdl",1982-07-27,7,NA,0,NA,3.5
"385","NWT","sdl",1982-07-28,9,NA,2,NA,5.5
"386","NWT","sdl",1982-07-29,5,NA,1,NA,3
"387","NWT","sdl",1982-07-30,10,NA,-1,NA,4.5
"388","NWT","sdl",1982-07-31,13,NA,3,NA,8
"389","NWT","sdl",1982-08-01,15,NA,4,NA,9.5
"390","NWT","sdl",1982-08-02,12,NA,4,NA,8
"391","NWT","sdl",1982-08-03,11,NA,4,NA,7.5
"392","NWT","sdl",1982-08-04,10,NA,3,NA,6.5
"393","NWT","sdl",1982-08-05,14,NA,2,NA,8
"394","NWT","sdl",1982-08-06,13,NA,3,NA,8
"395","NWT","sdl",1982-08-07,12,NA,2,NA,7
"396","NWT","sdl",1982-08-08,11,NA,2,NA,6.5
"397","NWT","sdl",1982-08-09,12,NA,4,NA,8
"398","NWT","sdl",1982-08-10,12,NA,3,NA,7.5
"399","NWT","sdl",1982-08-11,11,NA,3,NA,7
"400","NWT","sdl",1982-08-12,12,NA,4,NA,8
"401","NWT","sdl",1982-08-13,11,NA,3,NA,7
"402","NWT","sdl",1982-08-14,13,NA,4,NA,8.5
"403","NWT","sdl",1982-08-15,12,NA,4,NA,8
"404","NWT","sdl",1982-08-16,13,NA,3,NA,8
"405","NWT","sdl",1982-08-17,14,NA,4,NA,9
"406","NWT","sdl",1982-08-18,14,NA,5,NA,9.5
"407","NWT","sdl",1982-08-19,16,NA,4,NA,10
"408","NWT","sdl",1982-08-20,14,NA,3,NA,8.5
"409","NWT","sdl",1982-08-21,13,NA,4,NA,8.5
"410","NWT","sdl",1982-08-22,14,NA,4,NA,9
"411","NWT","sdl",1982-08-23,13,NA,3,NA,8
"412","NWT","sdl",1982-08-24,7,NA,0,NA,3.5
"413","NWT","sdl",1982-08-25,11,NA,3,NA,7
"414","NWT","sdl",1982-08-26,11,NA,4,NA,7.5
"415","NWT","sdl",1982-08-27,11,NA,2,NA,6.5
"416","NWT","sdl",1982-08-28,12,NA,4,NA,8
"417","NWT","sdl",1982-08-29,10,NA,4,NA,7
"418","NWT","sdl",1982-08-30,12,NA,5,NA,8.5
"419","NWT","sdl",1982-08-31,12,NA,4,NA,8
"420","NWT","sdl",1982-09-01,11,NA,4,NA,7.5
"421","NWT","sdl",1982-09-02,12,NA,2,NA,7
"422","NWT","sdl",1982-09-03,12,NA,1,NA,6.5
"423","NWT","sdl",1982-09-04,13,NA,4,NA,8.5
"424","NWT","sdl",1982-09-05,7,NA,1,NA,4
