"","individualID","siteID","plotID","trapID","collectDate","taxonRank","morphospeciesID","para_sciname","para_morph","col_year","col_month","col_day","dayofyear","expert_sciname","taxonID","col_index"
"31","NEON.BET.D13.000433","NIWO","NIWO_004","S",2015-07-14,"genus","D13.2015.MorphH","Harpalus sp.","Harpalus sp./D13.2015.MorphH",2015,7,14,194,"Harpalus nigritarsis","HARNIG",1
"32","NEON.BET.D13.000052","NIWO","NIWO_005","N",2015-07-14,"family","D13.2015.MorphO","Carabidae spp.","Carabidae spp./D13.2015.MorphO",2015,7,14,194,"Pterostichus restrictus","PTERES",1
"33","NEON.BET.D13.000427","NIWO","NIWO_003","W",2015-07-14,"genus","D13.2015.MorphB","Amara sp.","Amara sp./D13.2015.MorphB",2015,7,14,194,"Amara quenseli","AMAQUE",1
"34","NEON.BET.D13.000057","NIWO","NIWO_005","S",2015-07-14,"genus","D13.2015.MorphG","Harpalus sp.","Harpalus sp./D13.2015.MorphG",2015,7,14,194,"Harpalus nigritarsis","HARNIG",1
"35","NEON.BET.D13.000426","NIWO","NIWO_003","W",2015-07-14,"genus","D13.2015.MorphB","Amara sp.","Amara sp./D13.2015.MorphB",2015,7,14,194,"Amara quenseli","AMAQUE",1
"36","NEON.BET.D13.000187","NIWO","NIWO_004","W",2015-07-14,"species",NA,"Carabus taedatus","Carabus taedatus",2015,7,14,194,"Carabus taedatus","CARTAE2",1
"37","NEON.BET.D13.000080","NIWO","NIWO_001","E",2015-07-14,"species",NA,"Calathus advena","Calathus advena",2015,7,14,194,"Calathus advena","CALADV",1
"38","NEON.BET.D13.000224","NIWO","NIWO_007","N",2015-07-14,"species",NA,"Cymindis unicolor","Cymindis unicolor",2015,7,14,194,"Cymindis unicolor","CYMUNI1",1
"39","NEON.BET.D13.000196","NIWO","NIWO_006","S",2015-07-14,"species",NA,"Carabus taedatus","Carabus taedatus",2015,7,14,194,"Carabus taedatus","CARTAE2",1
"40","NEON.BET.D13.000364","NIWO","NIWO_003","E",2015-07-14,"species",NA,"Amara alpina","Amara alpina",2015,7,14,194,"Amara alpina","AMAALP",1
"41","NEON.BET.D13.000428","NIWO","NIWO_001","W",2015-07-14,"genus","D13.2015.MorphC","Pterostichus sp.","Pterostichus sp./D13.2015.MorphC",2015,7,14,194,"Pterostichus restrictus","PTERES",1
"42","NEON.BET.D13.000425","NIWO","NIWO_003","W",2015-07-14,"genus","D13.2015.MorphA","Amara sp.","Amara sp./D13.2015.MorphA",2015,7,14,194,"Amara quenseli","AMAQUE",1
"43","NEON.BET.D13.000434","NIWO","NIWO_004","S",2015-07-14,"genus","D13.2015.MorphI","Harpalus sp.","Harpalus sp./D13.2015.MorphI",2015,7,14,194,"Harpalus nigritarsis","HARNIG",1
"44","NEON.BET.D13.000369","NIWO","NIWO_008","W",2015-07-14,"species",NA,"Amara idahoana","Amara idahoana",2015,7,14,194,"Amara quenseli","AMAQUE",1
"45","NEON.BET.D13.000279","NIWO","NIWO_008","E",2015-07-14,"species",NA,"Amara alpina","Amara alpina",2015,7,14,194,"Amara alpina","AMAALP",1
"46","NEON.BET.D13.000227","NIWO","NIWO_005","W",2015-07-14,"species",NA,"Cymindis unicolor","Cymindis unicolor",2015,7,14,194,"Cymindis unicolor","CYMUNI1",1
"47","NEON.BET.D13.000066","NIWO","NIWO_007","W",2015-07-14,"family","D13.2015.MorphO","Carabidae spp.","Carabidae spp./D13.2015.MorphO",2015,7,14,194,"Pterostichus restrictus","PTERES",1
"48","NEON.BET.D13.000225","NIWO","NIWO_005","W",2015-07-14,"species",NA,"Cymindis unicolor","Cymindis unicolor",2015,7,14,194,"Cymindis unicolor","CYMUNI1",1
"49","NEON.BET.D13.000368","NIWO","NIWO_008","W",2015-07-14,"species",NA,"Amara idahoana","Amara idahoana",2015,7,14,194,"Amara quenseli","AMAQUE",1
"50","NEON.BET.D13.000396","NIWO","NIWO_002","E",2015-07-14,"species",NA,"Notiophilus directus","Notiophilus directus",2015,7,14,194,"Notiophilus directus","NOTDIR",1
"51","NEON.BET.D13.000424","NIWO","NIWO_003","W",2015-07-14,"genus","D13.2015.MorphA","Amara sp.","Amara sp./D13.2015.MorphA",2015,7,14,194,"Amara quenseli","AMAQUE",1
"52","NEON.BET.D13.000367","NIWO","NIWO_008","W",2015-07-14,"species",NA,"Amara idahoana","Amara idahoana",2015,7,14,194,"Amara quenseli","AMAQUE",1
"53","NEON.BET.D13.000226","NIWO","NIWO_005","W",2015-07-14,"species",NA,"Cymindis unicolor","Cymindis unicolor",2015,7,14,194,"Cymindis unicolor","CYMUNI1",1
"54","NEON.BET.D13.000429","NIWO","NIWO_003","E",2015-07-14,"subgenus","D13.2015.MorphD","Amara (Curtonotus) sp.","Amara (Curtonotus) sp./D13.2015.MorphD",2015,7,14,194,"Amara quenseli","AMAQUE",1
"55","NEON.BET.D13.000047","NIWO","NIWO_002","S",2015-07-14,"species",NA,"Calathus advena","Calathus advena",2015,7,14,194,"Calathus advena","CALADV",1
"56","NEON.BET.D13.000375","NIWO","NIWO_002","N",2015-07-14,"species",NA,"Notiophilus directus","Notiophilus directus",2015,7,14,194,"Notiophilus directus","NOTDIR",1
"57","NEON.BET.D13.000278","NIWO","NIWO_008","E",2015-07-14,"species",NA,"Amara alpina","Amara alpina",2015,7,14,194,"Amara alpina","AMAALP",1
"58","NEON.BET.D13.000365","NIWO","NIWO_008","S",2015-07-14,"species",NA,"Amara erratica","Amara erratica",2015,7,14,194,"Amara farcta","AMAFAR",1
"59","NEON.BET.D13.000189","NIWO","NIWO_003","E",2015-07-14,"species",NA,"Carabus taedatus","Carabus taedatus",2015,7,14,194,"Carabus taedatus","CARTAE2",1
"60","NEON.BET.D13.000394","NIWO","NIWO_004","E",2015-07-14,"species",NA,"Harpalus desertus","Harpalus desertus",2015,7,14,194,"Harpalus nigritarsis","HARNIG",1
"61","NEON.BET.D13.000390","NIWO","NIWO_004","E",2015-07-14,"species",NA,"Harpalus desertus","Harpalus desertus",2015,7,14,194,"Harpalus nigritarsis","HARNIG",1
"62","NEON.BET.D13.000073","NIWO","NIWO_006","W",2015-07-14,"family","D13.2015.MorphO","Carabidae spp.","Carabidae spp./D13.2015.MorphO",2015,7,14,194,"Pterostichus restrictus","PTERES",1
"63","NEON.BET.D13.000363","NIWO","NIWO_008","N",2015-07-14,"species",NA,"Amara alpina","Amara alpina",2015,7,14,194,"Amara alpina","AMAALP",1
"64","NEON.BET.D13.000391","NIWO","NIWO_004","E",2015-07-14,"species",NA,"Harpalus desertus","Harpalus desertus",2015,7,14,194,"Harpalus nigritarsis","HARNIG",1
"65","NEON.BET.D13.000084","NIWO","NIWO_005","W",2015-07-14,"species",NA,"Calathus advena","Calathus advena",2015,7,14,194,"Calathus advena","CALADV",1
"66","NEON.BET.D13.000091","NIWO","NIWO_010","E",2015-07-14,"species",NA,"Calathus advena","Calathus advena",2015,7,14,194,"Calathus advena","CALADV",1
"67","NEON.BET.D13.000030","NIWO","NIWO_010","W",2015-07-14,"family","D13.2015.MorphO","Carabidae spp.","Carabidae spp./D13.2015.MorphO",2015,7,14,194,"Pterostichus restrictus","PTERES",1
"68","NEON.BET.D13.000362","NIWO","NIWO_008","N",2015-07-14,"species",NA,"Amara alpina","Amara alpina",2015,7,14,194,"Amara alpina","AMAALP",1
"69","NEON.BET.D13.000395","NIWO","NIWO_004","E",2015-07-14,"species",NA,"Harpalus desertus","Harpalus desertus",2015,7,14,194,"Harpalus nigritarsis","HARNIG",1
"70","NEON.BET.D13.000392","NIWO","NIWO_004","E",2015-07-14,"species",NA,"Harpalus desertus","Harpalus desertus",2015,7,14,194,"Harpalus nigritarsis","HARNIG",1
"71","NEON.BET.D13.000188","NIWO","NIWO_003","E",2015-07-14,"species",NA,"Carabus taedatus","Carabus taedatus",2015,7,14,194,"Carabus taedatus","CARTAE2",1
"72","NEON.BET.D13.000393","NIWO","NIWO_004","E",2015-07-14,"species",NA,"Harpalus desertus","Harpalus desertus",2015,7,14,194,"Harpalus nigritarsis","HARNIG",1
"73","NEON.BET.D13.000085","NIWO","NIWO_005","W",2015-07-14,"species",NA,"Calathus advena","Calathus advena",2015,7,14,194,"Calathus advena","CALADV",1
"74","NEON.BET.D13.000361","NIWO","NIWO_008","N",2015-07-14,"species",NA,"Amara alpina","Amara alpina",2015,7,14,194,"Amara alpina","AMAALP",1
"75","NEON.BET.D13.000266","NIWO","NIWO_006","N",2015-07-14,"species",NA,"Cymindis borealis","Cymindis borealis",2015,7,14,194,"Cymindis unicolor","CYMUNI1",1
"76","NEON.BET.D13.000190","NIWO","NIWO_008","N",2015-07-14,"species",NA,"Carabus taedatus","Carabus taedatus",2015,7,14,194,"Carabus taedatus","CARTAE2",1
"77","NEON.BET.D13.000026","NIWO","NIWO_004","S",2015-07-14,"family","D13.2015.MorphO","Carabidae spp.","Carabidae spp./D13.2015.MorphO",2015,7,14,194,"Pterostichus restrictus","PTERES",1
"78","NEON.BET.D13.000090","NIWO","NIWO_010","E",2015-07-14,"species",NA,"Calathus advena","Calathus advena",2015,7,14,194,"Calathus advena","CALADV",1
"79","NEON.BET.D13.000029","NIWO","NIWO_010","W",2015-07-14,"family","D13.2015.MorphO","Carabidae spp.","Carabidae spp./D13.2015.MorphO",2015,7,14,194,"Pterostichus restrictus","PTERES",1
"80","NEON.BET.D13.000086","NIWO","NIWO_009","S",2015-07-14,"species",NA,"Calathus advena","Calathus advena",2015,7,14,194,"Calathus advena","CALADV",1
"81","NEON.BET.D13.000192","NIWO","NIWO_008","E",2015-07-14,"species",NA,"Carabus taedatus","Carabus taedatus",2015,7,14,194,"Carabus taedatus","CARTAE2",1
"82","NEON.BET.D13.000042","NIWO","NIWO_006","E",2015-07-14,"species",NA,"Amara alpina","Amara alpina",2015,7,14,194,"Amara alpina","AMAALP",1
"83","NEON.BET.D13.000041","NIWO","NIWO_006","E",2015-07-14,"species",NA,"Amara alpina","Amara alpina",2015,7,14,194,"Amara alpina","AMAALP",1
"84","NEON.BET.D13.000077","NIWO","NIWO_009","N",2015-07-14,"species",NA,"Calathus advena","Calathus advena",2015,7,14,194,"Calathus advena","CALADV",1
"85","NEON.BET.D13.000223","NIWO","NIWO_004","E",2015-07-14,"species",NA,"Cymindis unicolor","Cymindis unicolor",2015,7,14,194,"Cymindis unicolor","CYMUNI1",1
"86","NEON.BET.D13.000404","NIWO","NIWO_004","E",2015-07-14,"species",NA,"Syntomus americanus","Syntomus americanus",2015,7,14,194,"Syntomus americanus","SYNAME",1
"87","NEON.BET.D13.000002","NIWO","NIWO_005","E",2015-07-14,"family","D13.2015.MorphO","Carabidae spp.","Carabidae spp./D13.2015.MorphO",2015,7,14,194,"Pterostichus restrictus","PTERES",1
"88","NEON.BET.D13.000017","NIWO","NIWO_007","S",2015-07-14,"family","D13.2015.MorphO","Carabidae spp.","Carabidae spp./D13.2015.MorphO",2015,7,14,194,"Pterostichus restrictus","PTERES",1
"89","NEON.BET.D13.000220","NIWO","NIWO_004","E",2015-07-14,"species",NA,"Cymindis unicolor","Cymindis unicolor",2015,7,14,194,"Cymindis unicolor","CYMUNI1",1
"90","NEON.BET.D13.000219","NIWO","NIWO_004","E",2015-07-14,"species",NA,"Cymindis unicolor","Cymindis unicolor",2015,7,14,194,"Cymindis unicolor","CYMUNI1",1
"91","NEON.BET.D13.000059","NIWO","NIWO_005","S",2015-07-14,"species",NA,"Calathus advena","Calathus advena",2015,7,14,194,"Calathus advena","CALADV",1
"92","NEON.BET.D13.000062","NIWO","NIWO_007","E",2015-07-14,"species",NA,"Calathus advena","Calathus advena",2015,7,14,194,"Calathus advena","CALADV",1
"93","NEON.BET.D13.000045","NIWO","NIWO_002","N",2015-07-14,"species",NA,"Calathus advena","Calathus advena",2015,7,14,194,"Calathus advena","CALADV",1
"94","NEON.BET.D13.000221","NIWO","NIWO_004","E",2015-07-14,"species",NA,"Cymindis unicolor","Cymindis unicolor",2015,7,14,194,"Cymindis unicolor","CYMUNI1",1
"95","NEON.BET.D13.000373","NIWO","NIWO_006","W",2015-07-14,"species",NA,"Agonoleptus conjunctus","Agonoleptus conjunctus",2015,7,14,194,"Agonoleptus conjunctus","AGOCON",1
"96","NEON.BET.D13.000043","NIWO","NIWO_007","S",2015-07-14,"species",NA,"Calathus advena","Calathus advena",2015,7,14,194,"Calathus advena","CALADV",1
"97","NEON.BET.D13.000046","NIWO","NIWO_002","N",2015-07-14,"species",NA,"Calathus advena","Calathus advena",2015,7,14,194,"Calathus advena","CALADV",1
"98","NEON.BET.D13.000200","NIWO","NIWO_007","S",2015-07-14,"species",NA,"Carabus taedatus","Carabus taedatus",2015,7,14,194,"Carabus taedatus","CARTAE2",1
"99","NEON.BET.D13.000088","NIWO","NIWO_010","W",2015-07-14,"species",NA,"Calathus advena","Calathus advena",2015,7,14,194,"Calathus advena","CALADV",1
"100","NEON.BET.D13.000015","NIWO","NIWO_007","N",2015-07-14,"family","D13.2015.MorphO","Carabidae spp.","Carabidae spp./D13.2015.MorphO",2015,7,14,194,"Pterostichus restrictus","PTERES",1
"101","NEON.BET.D13.000063","NIWO","NIWO_007","E",2015-07-14,"species",NA,"Calathus advena","Calathus advena",2015,7,14,194,"Calathus advena","CALADV",1
"102","NEON.BET.D13.000089","NIWO","NIWO_010","W",2015-07-14,"species",NA,"Calathus advena","Calathus advena",2015,7,14,194,"Calathus advena","CALADV",1
"103","NEON.BET.D13.000222","NIWO","NIWO_004","E",2015-07-14,"species",NA,"Cymindis unicolor","Cymindis unicolor",2015,7,14,194,"Cymindis unicolor","CYMUNI1",1
"104","NEON.BET.D13.000218","NIWO","NIWO_004","E",2015-07-14,"species",NA,"Cymindis unicolor","Cymindis unicolor",2015,7,14,194,"Cymindis unicolor","CYMUNI1",1
"105","NEON.BET.D13.000366","NIWO","NIWO_008","W",2015-07-14,"species",NA,"Notiophilus aquaticus","Notiophilus aquaticus",2015,7,14,194,"Notiophilus aquaticus","NOTAQU",1
"106","NEON.BET.D13.000044","NIWO","NIWO_007","S",2015-07-14,"species",NA,"Calathus advena","Calathus advena",2015,7,14,194,"Calathus advena","CALADV",1
"107","NEON.BET.D13.000376","NIWO","NIWO_001","E",2015-07-14,"species",NA,"Notiophilus directus","Notiophilus directus",2015,7,14,194,"Notiophilus directus","NOTDIR",1
"108","NEON.BET.D13.000076","NIWO","NIWO_006","W",2015-07-14,"species",NA,"Amara alpina","Amara alpina",2015,7,14,194,"Amara alpina","AMAALP",1
"109","NEON.BET.D13.000012","NIWO","NIWO_002","N",2015-07-14,"family","D13.2015.MorphO","Carabidae spp.","Carabidae spp./D13.2015.MorphO",2015,7,14,194,"Pterostichus restrictus","PTERES",1
"110","NEON.BET.D13.000070","NIWO","NIWO_006","N",2015-07-14,"species",NA,"Amara alpina","Amara alpina",2015,7,14,194,"Amara alpina","AMAALP",1
"111","NEON.BET.D13.000074","NIWO","NIWO_006","W",2015-07-14,"species",NA,"Amara alpina","Amara alpina",2015,7,14,194,"Amara alpina","AMAALP",1
"112","NEON.BET.D13.000075","NIWO","NIWO_006","W",2015-07-14,"species",NA,"Amara alpina","Amara alpina",2015,7,14,194,"Amara alpina","AMAALP",1
"113","NEON.BET.D13.000048","NIWO","NIWO_007","S",2015-07-14,"species",NA,"Calathus advena","Calathus advena",2015,7,14,194,"Calathus advena","CALADV",1
"114","NEON.BET.D13.000049","NIWO","NIWO_007","S",2015-07-14,"species",NA,"Calathus advena","Calathus advena",2015,7,14,194,"Calathus advena","CALADV",1
"115","NEON.BET.D13.000071","NIWO","NIWO_006","N",2015-07-14,"species",NA,"Amara alpina","Amara alpina",2015,7,14,194,"Amara alpina","AMAALP",1
"116","NEON.BET.D13.000069","NIWO","NIWO_006","N",2015-07-14,"species",NA,"Amara alpina","Amara alpina",2015,7,14,194,"Amara alpina","AMAALP",1
"117","NEON.BET.D13.000016","NIWO","NIWO_005","W",2015-07-14,"family","D13.2015.MorphO","Carabidae spp.","Carabidae spp./D13.2015.MorphO",2015,7,14,194,"Pterostichus restrictus","PTERES",1
"118","NEON.BET.D13.000072","NIWO","NIWO_006","N",2015-07-14,"species",NA,"Amara alpina","Amara alpina",2015,7,14,194,"Amara alpina","AMAALP",1
"119","NEON.BET.D13.000031","NIWO","NIWO_010","E",2015-07-14,"family","D13.2015.MorphO","Carabidae spp.","Carabidae spp./D13.2015.MorphO",2015,7,14,194,"Pterostichus restrictus","PTERES",1
"120","NEON.BET.D13.000027","NIWO","NIWO_009","S",2015-07-14,"family","D13.2015.MorphO","Carabidae spp.","Carabidae spp./D13.2015.MorphO",2015,7,14,194,"Pterostichus restrictus","PTERES",1
"121","NEON.BET.D13.000009","NIWO","NIWO_002","N",2015-07-14,"family","D13.2015.MorphO","Carabidae spp.","Carabidae spp./D13.2015.MorphO",2015,7,14,194,"Pterostichus restrictus","PTERES",1
"122","NEON.BET.D13.000054","NIWO","NIWO_001","S",2015-07-14,"species",NA,"Calathus advena","Calathus advena",2015,7,14,194,"Calathus advena","CALADV",1
"123","NEON.BET.D13.000083","NIWO","NIWO_007","N",2015-07-14,"species",NA,"Calathus advena","Calathus advena",2015,7,14,194,"Calathus advena","CALADV",1
"124","NEON.BET.D13.000011","NIWO","NIWO_002","N",2015-07-14,"family","D13.2015.MorphO","Carabidae spp.","Carabidae spp./D13.2015.MorphO",2015,7,14,194,"Pterostichus restrictus","PTERES",1
"125","NEON.BET.D13.000191","NIWO","NIWO_008","N",2015-07-14,"species",NA,"Carabus taedatus","Carabus taedatus",2015,7,14,194,"Carabus taedatus","CARTAE2",1
"126","NEON.BET.D13.000082","NIWO","NIWO_007","N",2015-07-14,"species",NA,"Calathus advena","Calathus advena",2015,7,14,194,"Calathus advena","CALADV",1
"127","NEON.BET.D13.000005","NIWO","NIWO_002","N",2015-07-14,"family","D13.2015.MorphO","Carabidae spp.","Carabidae spp./D13.2015.MorphO",2015,7,14,194,"Pterostichus restrictus","PTERES",1
"128","NEON.BET.D13.000053","NIWO","NIWO_001","S",2015-07-14,"species",NA,"Calathus advena","Calathus advena",2015,7,14,194,"Calathus advena","CALADV",1
"129","NEON.BET.D13.000010","NIWO","NIWO_002","N",2015-07-14,"family","D13.2015.MorphO","Carabidae spp.","Carabidae spp./D13.2015.MorphO",2015,7,14,194,"Pterostichus restrictus","PTERES",1
"130","NEON.BET.D13.000276","NIWO","NIWO_008","E",2015-07-14,"species",NA,"Amara alpina","Amara alpina",2015,7,14,194,"Amara alpina","AMAALP",1
"131","NEON.BET.D13.000006","NIWO","NIWO_002","N",2015-07-14,"family","D13.2015.MorphO","Carabidae spp.","Carabidae spp./D13.2015.MorphO",2015,7,14,194,"Pterostichus restrictus","PTERES",1
"132","NEON.BET.D13.000277","NIWO","NIWO_008","E",2015-07-14,"species",NA,"Amara alpina","Amara alpina",2015,7,14,194,"Amara alpina","AMAALP",1
"133","NEON.BET.D13.000028","NIWO","NIWO_009","S",2015-07-14,"family","D13.2015.MorphO","Carabidae spp.","Carabidae spp./D13.2015.MorphO",2015,7,14,194,"Pterostichus restrictus","PTERES",1
"134","NEON.BET.D13.000056","NIWO","NIWO_005","S",2015-07-14,"family","D13.2015.MorphO","Carabidae spp.","Carabidae spp./D13.2015.MorphO",2015,7,14,194,"Pterostichus restrictus","PTERES",1
"135","NEON.BET.D13.000004","NIWO","NIWO_002","N",2015-07-14,"family","D13.2015.MorphO","Carabidae spp.","Carabidae spp./D13.2015.MorphO",2015,7,14,194,"Pterostichus restrictus","PTERES",1
"136","NEON.BET.D13.000388","NIWO","NIWO_006","E",2015-07-14,"species",NA,"Cymindis cribricollis","Cymindis cribricollis",2015,7,14,194,"Cymindis cribricollis","CYMCRI",1
"137","NEON.BET.D13.000007","NIWO","NIWO_002","N",2015-07-14,"family","D13.2015.MorphO","Carabidae spp.","Carabidae spp./D13.2015.MorphO",2015,7,14,194,"Pterostichus restrictus","PTERES",1
"138","NEON.BET.D13.000217","NIWO","NIWO_008","S",2015-07-14,"species",NA,"Cymindis unicolor","Cymindis unicolor",2015,7,14,194,"Cymindis unicolor","CYMUNI1",1
"139","NEON.BET.D13.000008","NIWO","NIWO_002","N",2015-07-14,"family","D13.2015.MorphO","Carabidae spp.","Carabidae spp./D13.2015.MorphO",2015,7,14,194,"Pterostichus restrictus","PTERES",1
"140","NEON.BET.D13.000092","NIWO","NIWO_010","S",2015-07-14,"species",NA,"Calathus advena","Calathus advena",2015,7,14,194,"Calathus advena","CALADV",1
"141","NEON.BET.D13.000228","NIWO","NIWO_004","E",2015-07-14,"species",NA,"Cymindis unicolor","Cymindis unicolor",2015,7,14,194,"Cymindis unicolor","CYMUNI1",1
"142","NEON.BET.D13.000058","NIWO","NIWO_005","S",2015-07-14,"species",NA,"Calathus ingratus","Calathus ingratus",2015,7,14,194,"Calathus ingratus","CALING",1
"143","NEON.BET.D13.000061","NIWO","NIWO_002","S",2015-07-14,"family","D13.2015.MorphO","Carabidae spp.","Carabidae spp./D13.2015.MorphO",2015,7,14,194,"Pterostichus restrictus","PTERES",1
"144","NEON.BET.D13.000003","NIWO","NIWO_007","S",2015-07-14,"family","D13.2015.MorphO","Carabidae spp.","Carabidae spp./D13.2015.MorphO",2015,7,14,194,"Pterostichus restrictus","PTERES",1
"145","NEON.BET.D13.000229","NIWO","NIWO_004","E",2015-07-14,"species",NA,"Cymindis unicolor","Cymindis unicolor",2015,7,14,194,"Cymindis unicolor","CYMUNI1",1
"146","NEON.BET.D13.000230","NIWO","NIWO_005","N",2015-07-28,"species",NA,"Cymindis unicolor","Cymindis unicolor",2015,7,28,208,"Cymindis unicolor","CYMUNI1",2
"147","NEON.BET.D13.000343","NIWO","NIWO_005","N",2015-07-28,"species",NA,"Calathus ingratus","Calathus ingratus",2015,7,28,208,"Calathus ingratus","CALING",2
"148","NEON.BET.D13.000093","NIWO","NIWO_001","N",2015-07-28,"species",NA,"Calathus advena","Calathus advena",2015,7,28,208,"Calathus advena","CALADV",2
