"plot","install_year","location","lat","long","elev","slope","aspect","plot_length","plot_width","plot_area","notes"
"Gap plot 16",1983,"Niwot Ridge",40.03913,-105.56432,3209,2,120,13,11,143,"Gap plots 6-10 and 12-21 are over a broad area west of near MRS4 "
"Gap plot 17",1983,"Niwot Ridge",40.03972,-105.56503,3203,5,120,12,7,84,"Gap plots 6-10 and 12-21 are over a broad area west of near MRS4 "
"Gap plot 18",1983,"Niwot Ridge",40.03946,-105.56467,3203,7,150,13,10,130,"Gap plots 6-10 and 12-21 are over a broad area west of near MRS4 "
"Gap plot 19",1983,"Niwot Ridge",40.03971,-105.56504,3205,15,160,17,12,204,"Gap plots 6-10 and 12-21 are over a broad area west of near MRS4 "
"Gap plot 20",1983,"Niwot Ridge",40.0397,-105.56544,3209,9,120,9,8,72,"Gap plots 6-10 and 12-21 are over a broad area west of near MRS4 "
"Gap plot 21",1983,"Niwot Ridge",40.03981,-105.56558,3200,12,110,13.5,8,108,"Gap plots 6-10 and 12-21 are over a broad area west of near MRS4 "
"Gap plot 11",1983,"At BL 6 at Brainard Lake",40.07561,-105.58154,3234,5,27,14,13,182,"Gap plots 11 and 22-30 are near BL6"
"Gap plot 22",1983,"At BL 6 at Brainard Lake",40.07556,-105.58163,3251,0,0,11,8,88,"Gap plots 11 and 22-30 are near BL6"
"Gap plot 23",1983,"At BL 6 at Brainard Lake",40.07527,-105.58205,3238,8,318,28,12,336,"Gap plots 11 and 22-30 are near BL6"
"Gap plot 24",1983,"At BL 6 at Brainard Lake",40.075,-105.582,3240,4,323,10,7,70,"Gap plots 11 and 22-30 are near BL6"
"Gap plot 25",1983,"At BL 6 at Brainard Lake",40.07478,-105.58224,3249,3,205,15,9,135,"Gap plots 11 and 22-30 are near BL6"
"Gap plot 26",1983,"At BL 6 at Brainard Lake",40.07465,-105.58222,3249,5,67,14,10,140,"Gap plots 11 and 22-30 are near BL6"
"Gap plot 27",1983,"At BL 6 at Brainard Lake",40.0746,-105.58223,3239,0,0,11,7,77,"Gap plots 11 and 22-30 are near BL6"
"Gap plot 28",1983,"At BL 6 at Brainard Lake",40.07437,-105.58213,3239,10,70,10,9,90,"Gap plots 11 and 22-30 are near BL6"
"Gap plot 29",1983,"At BL 6 at Brainard Lake",40.07434,-105.58226,3241,5,5,12,9,108,"Gap plots 11 and 22-30 are near BL6"
"Gap plot 30",1983,"At BL 6 at Brainard Lake",40.07422,-105.58259,3244,4,23,7,9,63,"Gap plots 11 and 22-30 are near BL6"
